cod_mes,comunidad,provincia,municipio,contratos,indef_hombres,temp_hombres,conv_hombres,indef_mujeres,temp_mujeres,conv_mujeres,agricultura,industria,construccion,servicios,
201601,Andalucía,Almería,Rioja,70,0,23,0,1,46,0,5,1,1,63,
201601,Andalucía,Almería,Roquetas de Mar,1519,30,839,18,33,587,12,311,47,165,996,
201601,Andalucía,Almería,Santa Cruz de Marchena,0,0,0,0,0,0,0,0,0,0,0,
201601,Andalucía,Almería,Santa Fe de Mondújar,15,0,11,0,0,4,0,1,0,1,13,
201601,Andalucía,Almería,Senés,12,0,1,0,0,11,0,2,0,0,10,
201601,Andalucía,Almería,Serón,26,0,15,0,0,11,0,2,5,1,18,
201601,Andalucía,Almería,Sierro,9,0,4,0,0,5,0,0,0,0,9,
201601,Andalucía,Almería,Somontín,0,0,0,0,0,0,0,0,0,0,0,
201601,Andalucía,Almería,Sorbas,66,4,38,0,1,23,0,28,0,4,34,
201601,Andalucía,Almería,Suflí,8,0,5,0,0,3,0,0,1,2,5,
201601,Andalucía,Almería,Tabernas,130,3,76,1,1,49,0,24,5,4,97,
201601,Andalucía,Almería,Taberno,20,0,11,0,0,9,0,4,0,4,12,
201601,Andalucía,Almería,Tahal,31,0,25,0,0,6,0,23,0,1,7,
201601,Andalucía,Almería,Terque,17,0,11,0,0,6,0,1,0,6,10,
201601,Andalucía,Almería,Tíjola,98,1,67,0,0,30,0,40,0,0,58,
201601,Andalucía,Almería,Turre,53,1,31,0,0,19,2,4,2,7,40,
201601,Andalucía,Almería,Turrillas,5,0,1,0,0,4,0,1,0,0,4,
201601,Andalucía,Almería,Uleila del Campo,33,1,23,0,0,9,0,8,1,0,24,
201601,Andalucía,Almería,Urrácal,17,0,15,0,0,2,0,16,0,0,1,
201601,Andalucía,Almería,Velefique,1,0,1,0,0,0,0,0,0,1,0,
201601,Andalucía,Almería,Vélez-Blanco,37,0,22,0,0,15,0,8,0,1,28,
201601,Andalucía,Almería,Vélez-Rubio,81,6,24,0,4,46,1,7,24,1,49,
201601,Andalucía,Almería,Vera,270,8,156,1,9,94,2,42,0,13,215,
201601,Andalucía,Almería,Viator,240,5,129,14,2,86,4,10,10,24,196,
201601,Andalucía,Almería,Vícar,823,12,414,3,3,387,4,390,14,81,338,
201601,Andalucía,Almería,Zurgena,32,1,15,0,1,15,0,7,0,4,21,
